电影名,评分,地区,地址,发布日期,评论人数
借东西的小人阿莉埃蒂,8.9,日本,https://movie.douban.com/subject/4202302/,2010-07-17,574900
萤火之森,8.9,日本,https://movie.douban.com/subject/5989818/,2011-09-17,560548
幽灵公主,8.9,日本,https://movie.douban.com/subject/1297359/,1997-07-12,542675
玩具总动员3,8.9,美国,https://movie.douban.com/subject/1858711/,2010-06-16,540442
侧耳倾听,8.9,日本,https://movie.douban.com/subject/1297052/,1995-07-15,480069
风之谷,8.9,日本,https://movie.douban.com/subject/1291585/,1984-03-11,365187
你看起来好像很好吃,8.9,日本,https://movie.douban.com/subject/4848115/,2010-10-16,344879
灌篮高手,8.9,日本,https://movie.douban.com/subject/35315950/,2023-04-20,298594
驯龙高手,8.8,美国,https://movie.douban.com/subject/2353023/,2010-05-14,784481
怪兽电力公司,8.8,美国,https://movie.douban.com/subject/1291579/,2001-11-02,702654
头脑特工队,8.8,美国,https://movie.douban.com/subject/10533913/,2015-10-06,645636
千年女优,8.8,日本,https://movie.douban.com/subject/1307394/,2001-07-28,282696
同级生,9.1,日本,https://movie.douban.com/subject/26344688/,2016-02-20,57654
葫芦兄弟,8.9,中国大陆,https://movie.douban.com/subject/3062897/,2008-05-27,61738
超能陆战队,8.7,美国,https://movie.douban.com/subject/11026735/,2015-02-28,1054663
伦敦一家人,8.9,英国,https://movie.douban.com/subject/5327189/,2016-10-15,100762
心灵奇旅,8.7,美国,https://movie.douban.com/subject/24733428/,2020-12-25,1027429
神偷奶爸,8.7,美国,https://movie.douban.com/subject/3287562/,2010-06-20,975917
疯狂原始人,8.7,美国,https://movie.douban.com/subject/1907966/,2013-04-20,864057
海洋之歌,8.8,爱尔兰,https://movie.douban.com/subject/11584019/,2016-08-12,172581
冰雪奇缘,8.5,美国,https://movie.douban.com/subject/4202982/,2014-02-05,729406
疯狂约会美丽都,8.7,法国,https://movie.douban.com/subject/1291565/,2003-06-11,89332
狐妖小红娘剧场版：王权富贵,9.2,中国大陆,https://movie.douban.com/subject/26946612/,2016-05-20,15959
岁月的童话,8.6,日本,https://movie.douban.com/subject/1291588/,1991-07-20,145580
麦兜·我和我妈妈,8.6,中国香港,https://movie.douban.com/subject/25884416/,2014-10-01,79589
海底总动员,8.5,美国,https://movie.douban.com/subject/1291586/,2003-07-30,401364
宝莲灯,8.5,中国大陆,https://movie.douban.com/subject/1299643/,1999-07-30,213791
狼的孩子雨和雪,8.6,日本,https://movie.douban.com/subject/7064681/,2012-07-21,134589
克劳斯：圣诞节的秘密,8.8,西班牙,https://movie.douban.com/subject/26858510/,2019-11-08,58997
河童之夏,8.7,日本,https://movie.douban.com/subject/2982823/,2007-07-28,81322
玩具总动员4,8.5,美国,https://movie.douban.com/subject/6850547/,2019-06-21,345748
玩具总动员2,8.5,美国,https://movie.douban.com/subject/1291574/,1999-11-24,258558
心理游戏,8.9,日本,https://movie.douban.com/subject/1477916/,2004-08-07,43198
我的邻居山田君,8.8,日本,https://movie.douban.com/subject/1417728/,1999-07-17,54305
至爱梵高·星空之谜,8.5,英国,https://movie.douban.com/subject/25837262/,2017-12-08,232886
麦兜·当当伴我心,8.5,中国大陆,https://movie.douban.com/subject/10772258/,2012-07-10,114571
魁拔Ⅲ战神崛起,8.6,中国大陆,https://movie.douban.com/subject/24723061/,2014-10-01,57394
哪吒之魔童降世,8.4,中国大陆,https://movie.douban.com/subject/26794435/,2019-07-26,1855297
美女与野兽,8.5,美国,https://movie.douban.com/subject/1297995/,1991-09-29,194738
百变狸猫,8.6,日本,https://movie.douban.com/subject/1303907/,1994-07-16,97485
冰川时代4,8.1,美国,https://movie.douban.com/subject/4914468/,2012-07-27,230367
守护者联盟,8.2,美国,https://movie.douban.com/subject/3769423/,2012-11-16,100248
赛车总动员,8.1,美国,https://movie.douban.com/subject/1428878/,2006-08-22,201922
画江湖之天罡,8.2,中国大陆,https://movie.douban.com/subject/36066128/,2023-12-29,54275
听到涛声,8.2,日本,https://movie.douban.com/subject/1418640/,1993-05-05,92463
罗小黑战记,8.0,中国大陆,https://movie.douban.com/subject/26709258/,2019-09-07,535185
最终幻想7：圣子降临,8.3,日本,https://movie.douban.com/subject/1422063/,2005-08-31,59036
小姐与流浪汉,8.6,美国,https://movie.douban.com/subject/1300075/,1955-06-16,30543
盗梦特攻队,8.3,匈牙利,https://movie.douban.com/subject/30272143/,2018-08-09,54602
无敌破坏王2：大闹互联网,8.0,美国,https://movie.douban.com/subject/20438964/,2018-11-23,395052
虞美人盛开的山坡,8.1,日本,https://movie.douban.com/subject/5262338/,2011-07-16,125058
钢铁巨人,8.6,美国,https://movie.douban.com/subject/1293863/,1999-08-06,28779
青春变形记,8.0,美国,https://movie.douban.com/subject/35284253/,2022-03-11,335634
帕丁顿熊2,8.0,英国,https://movie.douban.com/subject/26340419/,2017-12-08,272805
花木兰,8.0,美国,https://movie.douban.com/subject/1294833/,1998-06-19,251315
