电影名,评分,地区,地址,发布日期,评论人数
普吉岛的最后黄昏,8.7,泰国,https://movie.douban.com/subject/35472124/,2021-05-20,29144
单身男子,8.5,美国,https://movie.douban.com/subject/3275168/,2009-09-11,107827
痛苦与荣耀,8.5,西班牙,https://movie.douban.com/subject/30198539/,2019-03-13,84287
蝴蝶君,8.5,美国,https://movie.douban.com/subject/1293643/,1993-09-09,80421
蓝色大门,8.4,中国台湾,https://movie.douban.com/subject/1308575/,2002-09-27,435218
蓝宇,8.4,中国大陆,https://movie.douban.com/subject/1308076/,2001-11-22,318469
卡罗尔,8.4,英国,https://movie.douban.com/subject/10757577/,2015-05-17,288314
阿黛尔的生活,8.4,法国,https://movie.douban.com/subject/10535568/,2013-05-23,261801
迷恋荷尔蒙,8.6,美国,https://movie.douban.com/subject/1773216/,2003-05-31,32889
人生密密缝,8.5,日本,https://movie.douban.com/subject/26754513/,2017-02-10,56382
乐土,8.6,巴基斯坦,https://movie.douban.com/subject/35870056/,2022-05-23,32243
金枝玉叶,8.4,中国香港,https://movie.douban.com/subject/1303376/,1994-07-23,108599
天鹅绒金矿,8.4,英国,https://movie.douban.com/subject/1294136/,1998-11-06,66976
烈焰焚币,8.6,阿根廷,https://movie.douban.com/subject/1306454/,2000-05-11,23501
爱在暹罗,8.3,泰国,https://movie.douban.com/subject/2365260/,2007-11-22,297065
上帝之国,8.4,英国,https://movie.douban.com/subject/26781703/,2017-01-23,59170
丹麦女孩,8.3,英国,https://movie.douban.com/subject/3071604/,2015-09-05,238406
爱你，西蒙,8.3,美国,https://movie.douban.com/subject/26654498/,2018-03-16,229424
平常的心,8.4,美国,https://movie.douban.com/subject/6776051/,2014-05-25,55220
冬之蝉,8.8,日本,https://movie.douban.com/subject/2286133/,2007-02-23,13838
时光驻留,8.1,法国,https://movie.douban.com/subject/1436768/,2005-12-08,20481
伊莉莎与玛瑟拉,8.5,西班牙,https://movie.douban.com/subject/30251948/,2019-02-13,8940
养子十五岁,8.1,瑞典,https://movie.douban.com/subject/3243344/,2008-09-12,17111
心底的逆流,8.4,秘鲁,https://movie.douban.com/subject/4270672/,2009-09-23,9365
你好，再见,8.1,美国,https://movie.douban.com/subject/2971730/,2008-12-05,16321
男孩,8.0,荷兰,https://movie.douban.com/subject/25837574/,2014-02-09,20752
圣母,7.8,法国,https://movie.douban.com/subject/26933588/,2021-07-09,52000
双面劳伦斯,8.0,加拿大,https://movie.douban.com/subject/4838667/,2012-07-18,19703
世界第一初恋：求婚篇,8.4,日本,https://movie.douban.com/subject/34810454/,2020-02-21,8858
马斯顿教授与神奇女侠,7.9,美国,https://movie.douban.com/subject/26965165/,2017-09-09,23905
王尔德,7.8,英国,https://movie.douban.com/subject/1300029/,1997-09-01,37444
怒,7.7,日本,https://movie.douban.com/subject/26279289/,2016-09-10,84740
蝴蝶,7.7,中国香港,https://movie.douban.com/subject/1292331/,2004-09-04,46344
吉娅,7.9,美国,https://movie.douban.com/subject/1304613/,1998-01-31,22110
女魔头,7.8,美国,https://movie.douban.com/subject/1307649/,2003-12-17,33796
欲望法则,8.2,西班牙,https://movie.douban.com/subject/1300951/,1987-03-05,10808
恋爱谈,7.8,韩国,https://movie.douban.com/subject/26748688/,2016-05-01,31045
神秘肌肤,7.9,美国,https://movie.douban.com/subject/1309210/,2004-09-03,20267
卡波特,7.9,加拿大,https://movie.douban.com/subject/1422957/,2005-09-02,19299
暗之光,8.2,以色列,https://movie.douban.com/subject/10773181/,2012-09-07,10045
