电影名,评分,地区,地址,发布日期,评论人数
美丽人生,9.5,意大利,https://movie.douban.com/subject/1292063/,2020-01-03,1369547
鬼子来了,9.3,中国大陆,https://movie.douban.com/subject/1291858/,2000-05-12,651330
触不可及,9.3,法国,https://movie.douban.com/subject/6786002/,2011-11-02,1166750
摩登时代,9.3,美国,https://movie.douban.com/subject/1294371/,1936-02-25,314527
大话西游之大圣娶亲,9.2,中国香港,https://movie.douban.com/subject/1292213/,2014-10-24,1582960
疯狂动物城,9.2,美国,https://movie.douban.com/subject/25662329/,2016-03-04,2027615
三傻大闹宝莱坞,9.2,印度,https://movie.douban.com/subject/3793023/,2011-12-08,1919538
城市之光,9.3,美国,https://movie.douban.com/subject/1293908/,1931-01-30,154184
怦然心动,9.1,美国,https://movie.douban.com/subject/3319755/,2010-07-26,1894458
寻梦环游记,9.1,美国,https://movie.douban.com/subject/20495023/,2017-11-24,1760083
飞屋环游记,9.1,美国,https://movie.douban.com/subject/2129039/,2009-08-04,1375498
罗马假日,9.1,美国,https://movie.douban.com/subject/1293839/,1953-08-20,978385
两杆大烟枪,9.1,英国,https://movie.douban.com/subject/1293350/,1998-08-28,617012
我不是药神,9.0,中国大陆,https://movie.douban.com/subject/26752088/,2018-07-05,2177577
让子弹飞,9.0,中国大陆,https://movie.douban.com/subject/3742360/,2010-12-16,1762418
大话西游之月光宝盒,9.0,中国香港,https://movie.douban.com/subject/1299398/,2014-10-24,1260863
雨中曲,9.1,美国,https://movie.douban.com/subject/1293460/,1952-04-11,237585
喜宴,9.0,中国台湾,https://movie.douban.com/subject/1303037/,1993-08-04,381736
玛丽和马克思,9.0,澳大利亚,https://movie.douban.com/subject/3072124/,2009-01-15,430793
绿皮书,8.9,美国,https://movie.douban.com/subject/27060077/,2019-03-01,1717548
东京教父,9.0,日本,https://movie.douban.com/subject/1310177/,2003-11-08,247463
布达佩斯大饭店,8.9,美国,https://movie.douban.com/subject/11525673/,2014-02-06,982964
低俗小说,8.9,美国,https://movie.douban.com/subject/1291832/,1994-05-12,867250
大独裁者,9.2,美国,https://movie.douban.com/subject/1295646/,1940-10-15,83479
菊次郎的夏天,8.9,日本,https://movie.douban.com/subject/1293359/,2020-09-25,617440
7号房的礼物,8.9,韩国,https://movie.douban.com/subject/10777687/,2013-01-23,576808
玩具总动员3,8.9,美国,https://movie.douban.com/subject/1858711/,2010-06-16,540434
老友记重聚特辑,9.2,美国,https://movie.douban.com/subject/34908189/,2021-05-27,75613
虎口脱险,8.9,法国,https://movie.douban.com/subject/1296909/,1966-12-08,268247
功夫,8.8,中国大陆,https://movie.douban.com/subject/1291543/,2004-12-23,1191527
喜剧之王,8.8,中国香港,https://movie.douban.com/subject/1302425/,1999-02-13,1004638
与玛格丽特的午后,9.1,法国,https://movie.douban.com/subject/3796613/,2010-06-02,88763
纵横四海,8.8,中国香港,https://movie.douban.com/subject/1295409/,1991-02-02,440756
时空恋旅人,8.8,英国,https://movie.douban.com/subject/10577869/,2013-09-04,707571
怪兽电力公司,8.8,美国,https://movie.douban.com/subject/1291579/,2001-11-02,702638
头脑特工队,8.8,美国,https://movie.douban.com/subject/10533913/,2015-10-06,645617
阳光姐妹淘,8.8,韩国,https://movie.douban.com/subject/4917726/,2011-05-04,603645
幸福终点站,8.8,美国,https://movie.douban.com/subject/1292274/,2005-01-14,592898
淘金记,9.2,美国,https://movie.douban.com/subject/1298817/,1925-06-26,61520
荒蛮故事,8.8,阿根廷,https://movie.douban.com/subject/24750126/,2014-05-17,458500
芝加哥,8.9,美国,https://movie.douban.com/subject/1307697/,2002-12-27,165120
唐伯虎点秋香,8.7,中国香港,https://movie.douban.com/subject/1306249/,1993-07-01,1121793
九品芝麻官,8.7,中国香港,https://movie.douban.com/subject/1297518/,1994-03-31,713846
