电影名,评分,地区,地址,发布日期,评论人数
惊魂记,9.0,美国,https://movie.douban.com/subject/1293181/,1960-06-16,312166
电锯惊魂,8.7,美国,https://movie.douban.com/subject/1417598/,2004-01-19,557450
卡里加里博士的小屋,8.9,德国,https://movie.douban.com/subject/1292547/,1920-02-26,29395
电锯惊魂2,8.4,美国,https://movie.douban.com/subject/1309045/,2005-10-28,228503
闪灵,8.3,英国,https://movie.douban.com/subject/1292225/,1980-05-23,528422
生化危机,8.3,英国,https://movie.douban.com/subject/1306809/,2002-03-15,374598
异形,8.3,英国,https://movie.douban.com/subject/1300868/,1979-05-25,258085
怪谈,8.6,日本,https://movie.douban.com/subject/1303083/,1964-12-29,25182
孤儿怨,8.2,美国,https://movie.douban.com/subject/3011308/,2009-07-24,495255
小岛惊魂,8.2,美国,https://movie.douban.com/subject/1301459/,2001-08-10,301390
摄影机不要停！,8.2,日本,https://movie.douban.com/subject/30234315/,2017-11-04,198570
潜伏2,8.2,美国,https://movie.douban.com/subject/10485526/,2013-09-13,126231
僵尸叔叔,8.2,中国香港,https://movie.douban.com/subject/1302393/,1988-12-22,43777
回魂夜,8.1,中国香港,https://movie.douban.com/subject/1299765/,1995-07-06,248875
招魂,8.1,美国,https://movie.douban.com/subject/3804629/,2013-06-08,356607
迷雾,8.1,美国,https://movie.douban.com/subject/1945330/,2007-11-21,343256
罗斯玛丽的婴儿,8.2,美国,https://movie.douban.com/subject/1293852/,1968-06-12,70515
怪形,8.2,美国,https://movie.douban.com/subject/1296794/,1982-06-25,61599
电锯惊魂3,8.1,美国,https://movie.douban.com/subject/1474189/,2006-10-27,180352
万能钥匙,8.0,美国,https://movie.douban.com/subject/1418752/,2005-07-29,378802
僵尸,8.0,中国香港,https://movie.douban.com/subject/22715021/,2013-08-30,193563
生化危机2：启示录,8.0,德国,https://movie.douban.com/subject/1308752/,2004-09-10,279753
一眉道人,8.0,中国香港,https://movie.douban.com/subject/1472783/,1989-07-26,50480
死神来了,7.9,美国,https://movie.douban.com/subject/1300300/,2000-03-17,344433
死寂,7.9,美国,https://movie.douban.com/subject/1895120/,2007-03-16,294257
圣血,8.6,墨西哥,https://movie.douban.com/subject/1295255/,1989,11687
解除好友2：暗网,7.9,美国,https://movie.douban.com/subject/26725678/,2018-03-09,215224
招魂2,7.9,加拿大,https://movie.douban.com/subject/24860563/,2016-06-10,204641
电锯惊魂6,7.9,美国,https://movie.douban.com/subject/3075983/,2009-10-23,111744
美国精神病人,7.9,美国,https://movie.douban.com/subject/1301715/,2000-01-21,103893
着魔,8.0,法国,https://movie.douban.com/subject/1297203/,1981-05-25,45417
新僵尸先生,7.9,中国香港,https://movie.douban.com/subject/1305789/,1992-08-08,44694
逃出绝命镇,7.8,美国,https://movie.douban.com/subject/26688480/,2017-01-23,396059
X圣治,8.2,日本,https://movie.douban.com/subject/1304665/,1997-11-06,18987
潜伏,7.8,美国,https://movie.douban.com/subject/4817901/,2010-09-14,169768
理发师陶德,7.8,美国,https://movie.douban.com/subject/1820145/,2007-12-21,153224
电锯惊魂4,7.8,美国,https://movie.douban.com/subject/1922273/,2007-10-26,127464
电锯惊魂5,7.8,美国,https://movie.douban.com/subject/2350904/,2008-10-24,114824
电锯惊魂7,7.8,美国,https://movie.douban.com/subject/3878157/,2010-10-29,107918
诺斯费拉图,8.2,德国,https://movie.douban.com/subject/1296791/,1922-03-04,17340
生人勿进,7.6,瑞典,https://movie.douban.com/subject/2968813/,2008-01-26,48210
活死人黎明,7.5,美国,https://movie.douban.com/subject/1309088/,2004-03-19,110522
僵尸至尊,7.6,中国香港,https://movie.douban.com/subject/3066798/,1991-01-01,22352
世界奇妙物语 电影特别篇,8.3,日本,https://movie.douban.com/subject/1305388/,2000-11-03,8512
捉迷藏,7.5,美国,https://movie.douban.com/subject/1308995/,2005-01-27,81283
魔女嘉莉,7.6,美国,https://movie.douban.com/subject/1292664/,1976-11-03,36858
马柔本宅秘事,7.6,西班牙,https://movie.douban.com/subject/26961821/,2017-09-11,36525
杀出个黎明,7.5,美国,https://movie.douban.com/subject/1301409/,1996-01-19,66093
异形：契约,7.4,美国,https://movie.douban.com/subject/11803087/,2017-06-16,262134
鬼咬鬼,7.6,中国香港,https://movie.douban.com/subject/1303944/,1990-02-09,16876
寄生兽,7.4,日本,https://movie.douban.com/subject/25774050/,2016-09-02,161640
蝙蝠,7.5,韩国,https://movie.douban.com/subject/1853768/,2009-04-30,41886
杀手阿一,7.5,日本,https://movie.douban.com/subject/1295629/,2001-09-14,38847
双峰：与火同行,7.9,法国,https://movie.douban.com/subject/1303472/,1992-06-03,12495
此房是我造,7.4,丹麦,https://movie.douban.com/subject/26369884/,2018-05-14,79062
他人之颜,8.4,日本,https://movie.douban.com/subject/1432779/,1966-07-16,6741
恶魔的艺术2：邪降,7.5,泰国,https://movie.douban.com/subject/1866462/,2005-12-01,37508
人吓人,7.5,中国香港,https://movie.douban.com/subject/1304021/,1982-12-22,20822
迷宫物语,8.1,日本,https://movie.douban.com/subject/1457127/,1987-09-25,9208
孤堡惊情,7.4,西班牙,https://movie.douban.com/subject/2122766/,2010-04-16,66477
珀尔,7.4,加拿大,https://movie.douban.com/subject/35801819/,2022-09-03,66036
三更,7.4,中国香港,https://movie.douban.com/subject/1307488/,2002-08-15,35363
电锯惊魂10,7.4,美国,https://movie.douban.com/subject/36116844/,2023-09-25,61574
阴风阵阵,7.6,意大利,https://movie.douban.com/subject/1296332/,1977-02-01,22495
鬼宿舍,7.5,泰国,https://movie.douban.com/subject/3023155/,2006-02-02,32352
深空失忆,7.4,德国,https://movie.douban.com/subject/3011617/,2009-10-01,57467
恐怖星球,7.4,美国,https://movie.douban.com/subject/2160611/,2007-10-15,55740
异教徒,7.9,英国,https://movie.douban.com/subject/1305611/,1973-10-16,11302
死神的十字路口,7.4,泰国,https://movie.douban.com/subject/3126187/,2008-04-25,50313
怪兽屋,7.4,美国,https://movie.douban.com/subject/1482107/,2006-07-21,50103
遗传厄运,7.3,美国,https://movie.douban.com/subject/27621727/,2018-01-21,159817
哭声,7.3,韩国,https://movie.douban.com/subject/25817534/,2016-05-11,148619
地下幻灯剧画 少女椿,7.8,日本,https://movie.douban.com/subject/1963131/,1992-05-02,13015
维多利亚一号,7.3,中国香港,https://movie.douban.com/subject/3642866/,2010-05-13,70128
驱魔,7.5,美国,https://movie.douban.com/subject/1436846/,2005-09-01,27856
恐怖鸡,7.4,中国香港,https://movie.douban.com/subject/1472532/,1997-11-29,25170
变蝇人,7.4,美国,https://movie.douban.com/subject/1293073/,1986-08-15,43432
异形3,7.3,美国,https://movie.douban.com/subject/1297929/,1992-05-22,105222
丧尸乐园,7.3,美国,https://movie.douban.com/subject/3259993/,2009-09-25,95427
开心鬼救开心鬼,7.4,中国香港,https://movie.douban.com/subject/1307221/,1990-06-30,22558
