电影名,评分,地区,地址,发布日期,评论人数
无间道,9.3,中国香港,https://movie.douban.com/subject/1307914/,2003-09-05,1420937
蝙蝠侠：黑暗骑士,9.2,美国,https://movie.douban.com/subject/1851857/,2008-07-14,1100825
红辣椒,9.1,日本,https://movie.douban.com/subject/1865703/,2006-09-02,492657
未麻的部屋,9.1,日本,https://movie.douban.com/subject/1395091/,1997-08-05,359484
搏击俱乐部,9.0,美国,https://movie.douban.com/subject/1292000/,1999-09-10,878623
惊魂记,9.0,美国,https://movie.douban.com/subject/1293181/,1960-06-16,312166
黑镜：圣诞特别篇,9.1,英国,https://movie.douban.com/subject/25964630/,2014-12-16,127555
禁闭岛,8.9,美国,https://movie.douban.com/subject/2334904/,2010-02-13,1017346
蝴蝶效应,8.9,美国,https://movie.douban.com/subject/1292343/,2004-01-23,973748
沉默的羔羊,8.9,美国,https://movie.douban.com/subject/1293544/,1991-02-14,926219
致命魔术,8.9,英国,https://movie.douban.com/subject/1780330/,2006-10-17,891603
致命ID,8.9,美国,https://movie.douban.com/subject/1297192/,2003-04-25,860319
蝙蝠侠：黑暗骑士崛起,8.9,美国,https://movie.douban.com/subject/3395373/,2012-08-27,750137
杀人回忆,8.9,韩国,https://movie.douban.com/subject/1300299/,2003-05-02,750003
第六感,8.9,美国,https://movie.douban.com/subject/1297630/,1999-08-06,577850
2001太空漫游,8.9,英国,https://movie.douban.com/subject/1292226/,1968-04-02,348307
末路狂花,8.9,美国,https://movie.douban.com/subject/1291992/,1991-05-24,279251
看不见的客人,8.8,西班牙,https://movie.douban.com/subject/26580232/,2017-09-15,1322099
七宗罪,8.8,美国,https://movie.douban.com/subject/1292223/,1995-09-22,972439
追随,8.9,英国,https://movie.douban.com/subject/1397546/,1998-04-24,188800
谍影重重3,8.8,美国,https://movie.douban.com/subject/1578507/,2007-11-15,433146
洞,9.2,法国,https://movie.douban.com/subject/1424334/,1960-03-18,54522
千钧一发,8.8,美国,https://movie.douban.com/subject/1300117/,1997-10-24,313995
电话谋杀案,8.9,美国,https://movie.douban.com/subject/1301231/,1954-05-29,133883
小丑,8.7,美国,https://movie.douban.com/subject/27119724/,2019-08-31,1043369
消失的爱人,8.7,美国,https://movie.douban.com/subject/21318488/,2014-09-26,992355
无间道2,8.7,中国香港,https://movie.douban.com/subject/1307106/,2003-10-17,503044
记忆碎片,8.7,美国,https://movie.douban.com/subject/1304447/,2000-09-05,623645
电锯惊魂,8.7,美国,https://movie.douban.com/subject/1417598/,2004-01-19,557449
洛城机密,8.8,美国,https://movie.douban.com/subject/1292348/,1997-09-19,152151
血钻,8.7,美国,https://movie.douban.com/subject/1428175/,2006-12-08,392933
谍影重重2,8.7,美国,https://movie.douban.com/subject/1308767/,2004-11-14,365807
浪潮,8.7,德国,https://movie.douban.com/subject/2297265/,2008-03-13,279805
后窗,8.7,美国,https://movie.douban.com/subject/1299080/,1954-08-01,208875
釜山行,8.6,韩国,https://movie.douban.com/subject/25986180/,2016-05-13,1243934
黑天鹅,8.6,美国,https://movie.douban.com/subject/1978709/,2010-09-01,800449
彗星来的那一夜,8.6,美国,https://movie.douban.com/subject/25807345/,2013-09-19,609513
用心棒,9.0,日本,https://movie.douban.com/subject/1292515/,1961-04-25,54458
谍影重重,8.6,美国,https://movie.douban.com/subject/1304102/,2002-11-21,444283
蝙蝠侠：侠影之谜,8.6,美国,https://movie.douban.com/subject/1309069/,2005-06-29,424160
回忆三部曲,8.9,日本,https://movie.douban.com/subject/1307897/,1995-12-23,65519
迷魂记,8.7,美国,https://movie.douban.com/subject/1297294/,1958-05-09,142298
银翼杀手,8.6,美国,https://movie.douban.com/subject/1291839/,1982-06-25,271778
金福南杀人事件始末,8.6,韩国,https://movie.douban.com/subject/4826419/,2010-09-02,270599
花火,8.7,日本,https://movie.douban.com/subject/1302642/,1997-09-03,125341
非常嫌疑犯,8.6,德国,https://movie.douban.com/subject/1292214/,1995-01-25,263525
恐怖游轮,8.5,英国,https://movie.douban.com/subject/3011051/,2009-10-16,901182
亚当斯一家的价值观,8.8,美国,https://movie.douban.com/subject/1299900/,1993-11-19,72572
源代码,8.5,美国,https://movie.douban.com/subject/3075287/,2011-08-30,860743
神探,8.5,中国香港,https://movie.douban.com/subject/2027938/,2008-02-22,315761
网络谜踪,8.5,美国,https://movie.douban.com/subject/27615441/,2018-12-14,534258
变脸,8.5,美国,https://movie.douban.com/subject/1292659/,1997-06-27,386842
精英部队2：大敌当前,8.7,巴西,https://movie.douban.com/subject/4304402/,2011-11-25,86587
风声,8.4,中国大陆,https://movie.douban.com/subject/3734112/,2009-09-29,620090
钢铁侠,8.4,美国,https://movie.douban.com/subject/1432146/,2008-04-30,615892
喋血双雄,8.5,中国香港,https://movie.douban.com/subject/1296519/,1989-07-06,87366
穆赫兰道,8.4,法国,https://movie.douban.com/subject/1292217/,2001-05-16,454497
碟中谍4,8.4,美国,https://movie.douban.com/subject/3068206/,2012-01-28,443631
黑社会,8.4,中国香港,https://movie.douban.com/subject/1309220/,2005-10-20,204938
盗火线,8.5,美国,https://movie.douban.com/subject/1295686/,1995-12-15,130181
王牌对王牌,8.5,美国,https://movie.douban.com/subject/1293434/,1998-07-29,122449
追击者,8.4,韩国,https://movie.douban.com/subject/3006309/,2008-02-14,244511
电锯惊魂2,8.4,美国,https://movie.douban.com/subject/1309045/,2005-10-28,228503
落水狗,8.4,美国,https://movie.douban.com/subject/1299603/,1992-01-21,218496
孟买酒店,8.4,澳大利亚,https://movie.douban.com/subject/26794701/,2018-09-07,213322
罪恶之城,8.4,美国,https://movie.douban.com/subject/1309027/,2005-04-01,200489
魔鬼代言人,8.4,美国,https://movie.douban.com/subject/1298909/,1997-10-17,169736
换子疑云,8.4,美国,https://movie.douban.com/subject/2028666/,2008-10-31,167650
杀死比尔,8.3,美国,https://movie.douban.com/subject/1291580/,2003-09-29,550241
银翼杀手2049,8.3,美国,https://movie.douban.com/subject/10512661/,2017-10-27,514974
银河护卫队3,8.3,美国,https://movie.douban.com/subject/26258779/,2023-05-05,511966
狗镇,8.4,丹麦,https://movie.douban.com/subject/1298759/,2003-05-19,153201
第九区,8.3,美国,https://movie.douban.com/subject/3006772/,2009-11-27,471456
苦月亮,8.4,法国,https://movie.douban.com/subject/1301582/,1992-09-23,143324
刺杀肯尼迪,8.8,美国,https://movie.douban.com/subject/1292230/,1991-12-20,40297
危情十日,8.5,美国,https://movie.douban.com/subject/1292850/,1990-11-30,85224
侏罗纪公园,8.3,美国,https://movie.douban.com/subject/1292523/,2013-08-20,327491
老无所依,8.3,美国,https://movie.douban.com/subject/1857099/,2007-05-19,315376
老男孩,8.3,韩国,https://movie.douban.com/subject/1308865/,2003-11-21,306940
精武门,8.5,中国香港,https://movie.douban.com/subject/1294991/,1972-03-22,45484
逃离德黑兰,8.3,美国,https://movie.douban.com/subject/6549903/,2012-08-31,297449
夜访吸血鬼,8.3,美国,https://movie.douban.com/subject/1299327/,1994-11-11,288248
情枭的黎明,8.7,美国,https://movie.douban.com/subject/1292646/,1993-11-10,46733
黑社会2：以和为贵,8.3,中国香港,https://movie.douban.com/subject/1484760/,2006-04-27,156877
