电影名,评分,地区,地址,发布日期,评论人数
本杰明·巴顿奇事,9.0,美国,https://movie.douban.com/subject/1485260/,2008-12-25,1019218
雨中曲,9.1,美国,https://movie.douban.com/subject/1293460/,1952-04-11,237592
灿烂人生,9.4,意大利,https://movie.douban.com/subject/1291831/,2003-05-20,74482
喜宴,9.0,中国台湾,https://movie.douban.com/subject/1303037/,1993-08-04,381752
牧马人,9.1,中国大陆,https://movie.douban.com/subject/1308038/,1982,88089
莫娣,9.1,爱尔兰,https://movie.douban.com/subject/25938803/,2016-09-02,141994
情书,8.9,日本,https://movie.douban.com/subject/1292220/,1995-03-25,1164507
甜蜜蜜,8.9,中国香港,https://movie.douban.com/subject/1305164/,2015-02-13,589459
爱在日落黄昏时,8.9,美国,https://movie.douban.com/subject/1291990/,2004-02-10,587109
萤火之森,8.9,日本,https://movie.douban.com/subject/5989818/,2011-09-17,560546
侧耳倾听,8.9,日本,https://movie.douban.com/subject/1297052/,1995-07-15,480069
爱在午夜降临前,8.9,美国,https://movie.douban.com/subject/10808442/,2013-06-14,422358
我爱你,9.0,韩国,https://movie.douban.com/subject/5908478/,2011-02-17,169315
喜剧之王,8.8,中国香港,https://movie.douban.com/subject/1302425/,1999-02-13,1004655
老友记重聚特辑,9.2,美国,https://movie.douban.com/subject/34908189/,2021-05-27,75613
重庆森林,8.8,中国香港,https://movie.douban.com/subject/1291999/,1994-07-14,843756
沉静如海,9.1,法国,https://movie.douban.com/subject/1769507/,2004-10-25,98483
倩女幽魂,8.8,中国香港,https://movie.douban.com/subject/1297447/,2011-04-30,761921
花样年华,8.8,中国香港,https://movie.douban.com/subject/1291557/,2000-05-20,638888
阳光灿烂的日子,8.8,中国大陆,https://movie.douban.com/subject/1291875/,1995-08-21,634877
东邪西毒,8.6,中国香港,https://movie.douban.com/subject/1292328/,1994-09-17,593728
廊桥遗梦,8.7,美国,https://movie.douban.com/subject/1293929/,1995-06-02,234356
青蛇,8.6,中国香港,https://movie.douban.com/subject/1303394/,1993-11-04,545731
卡萨布兰卡,8.7,美国,https://movie.douban.com/subject/1296753/,1943-07-07,227465
燃烧女子的肖像,8.7,法国,https://movie.douban.com/subject/30257175/,2019-05-19,220297
贫民窟的百万富翁,8.6,英国,https://movie.douban.com/subject/2209573/,2009-03-26,764538
蓝白红三部曲之红,8.8,法国,https://movie.douban.com/subject/1292047/,1994-05-12,125185
花束般的恋爱,8.6,日本,https://movie.douban.com/subject/34874432/,2022-02-22,678250
朗读者,8.6,美国,https://movie.douban.com/subject/2213597/,2008-12-10,464090
再次出发之纽约遇见你,8.6,美国,https://movie.douban.com/subject/6874403/,2015-06-26,440418
恋恋风尘,8.7,中国台湾,https://movie.douban.com/subject/1292330/,1987-09-13,97194
赎罪,8.6,英国,https://movie.douban.com/subject/1950148/,2008-02-22,402107
穿越时空的少女,8.6,日本,https://movie.douban.com/subject/1937946/,2006-07-15,387476
碧海蓝天,8.7,法国,https://movie.douban.com/subject/1300960/,1988-05-11,146951
迷魂记,8.7,美国,https://movie.douban.com/subject/1297294/,1958-05-09,142299
你的名字。,8.5,日本,https://movie.douban.com/subject/26683290/,2016-12-02,1456136
莫里斯,8.8,英国,https://movie.douban.com/subject/1293456/,1987-09-05,90884
福尔摩斯二世,9.5,美国,https://movie.douban.com/subject/1303408/,1924-04-21,28799
初恋这件小事,8.5,泰国,https://movie.douban.com/subject/4739952/,2012-06-05,1000802
阿飞正传,8.5,中国香港,https://movie.douban.com/subject/1305690/,2018-06-25,529223
