电影名,评分,地区,地址,发布日期,评论人数
摔跤吧！爸爸,9.0,印度,https://movie.douban.com/subject/26387939/,2017-05-05,1619126
灌篮高手,8.9,日本,https://movie.douban.com/subject/35315950/,2023-04-20,298595
勇士,8.9,美国,https://movie.douban.com/subject/3217169/,2011-09-09,165261
百万美元宝贝,8.8,美国,https://movie.douban.com/subject/1309016/,2004-12-15,235629
弱点,8.7,美国,https://movie.douban.com/subject/3552028/,2009-11-20,324408
洛奇,8.8,美国,https://movie.douban.com/subject/1295742/,1976-12-03,68779
追梦赤子心,8.8,美国,https://movie.douban.com/subject/1294753/,1993-10-13,63804
极速风流,8.7,英国,https://movie.douban.com/subject/6803494/,2015-12-11,147796
铁拳男人,8.8,美国,https://movie.douban.com/subject/1418519/,2005-06-03,55564
坏孩子的天空,8.6,日本,https://movie.douban.com/subject/1299062/,1996-07-27,106648
极速车王,8.5,美国,https://movie.douban.com/subject/6538866/,2020-08-07,244645
卡特教练,8.6,美国,https://movie.douban.com/subject/1309017/,2005-01-14,57115
光荣之路,8.6,美国,https://movie.douban.com/subject/1457219/,2006-01-13,49969
世上最快的印第安摩托,8.9,新西兰,https://movie.douban.com/subject/1449711/,2005-10-13,18538
光辉岁月,8.6,美国,https://movie.douban.com/subject/1292943/,2000-09-29,29700
我在雨中等你,8.4,美国,https://movie.douban.com/subject/3882427/,2019-08-09,76751
铁甲钢拳,8.3,美国,https://movie.douban.com/subject/1972729/,2011-11-08,275827
百元之恋,8.3,日本,https://movie.douban.com/subject/25761178/,2014-10-25,221417
愤怒的公牛,8.4,美国,https://movie.douban.com/subject/1293155/,1980-11-14,58599
洛奇6：永远的拳王,8.7,美国,https://movie.douban.com/subject/1578475/,2006-12-20,19186
点球成金,8.3,美国,https://movie.douban.com/subject/3023164/,2011-09-09,107827
奔腾年代,8.4,美国,https://movie.douban.com/subject/1307535/,2003-07-25,39402
五个扑水的少年,8.3,日本,https://movie.douban.com/subject/1301359/,2001-09-15,63341
麦克法兰,8.4,美国,https://movie.douban.com/subject/11520649/,2015-02-20,31095
摔角王,8.3,美国,https://movie.douban.com/subject/3007826/,2008-09-05,47702
少林足球,8.1,中国香港,https://movie.douban.com/subject/1297747/,2001-07-12,432108
绝杀慕尼黑,8.1,俄罗斯,https://movie.douban.com/subject/27024959/,2019-06-13,171882
成事在人,8.2,美国,https://movie.douban.com/subject/2136824/,2009-12-11,49708
边缘日记,8.2,美国,https://movie.douban.com/subject/1292585/,1995-04-21,47095
洛奇2,8.4,美国,https://movie.douban.com/subject/1295281/,1979-06-15,21772
飞鹰艾迪,8.1,英国,https://movie.douban.com/subject/3072064/,2016-03-18,67712
少年菀得,8.2,韩国,https://movie.douban.com/subject/5985888/,2011-10-20,33370
希特勒的男孩,8.2,德国,https://movie.douban.com/subject/1416942/,2004-12-25,31061
北壁,8.5,德国,https://movie.douban.com/subject/3271093/,2008-10-23,14500
飓风,8.5,美国,https://movie.douban.com/subject/1294497/,1999-12-14,14213
激战,7.9,中国香港,https://movie.douban.com/subject/20388223/,2013-08-16,201672
灵魂冲浪人,8.2,美国,https://movie.douban.com/subject/4301274/,2011-04-08,22822
洛奇3,8.3,美国,https://movie.douban.com/subject/1303695/,1982-05-28,17658
斗士,8.0,美国,https://movie.douban.com/subject/2056093/,2010-12-17,39721
我，花样女王,7.9,英国,https://movie.douban.com/subject/26756049/,2017-09-08,72437
