电影名,评分,地区,地址,发布日期,评论人数
想飞的钢琴少年,8.6,瑞士,https://movie.douban.com/subject/1900840/,2010-05-28,30299
黄色潜水艇,8.9,英国,https://movie.douban.com/subject/1305605/,1968-07-17,13495
玫瑰人生,8.4,法国,https://movie.douban.com/subject/1898223/,2007-02-08,93348
贝利叶一家,8.4,法国,https://movie.douban.com/subject/25855951/,2014-12-17,73706
交响情人梦 最终乐章 前篇,8.5,日本,https://movie.douban.com/subject/3335463/,2009-12-19,35733
天鹅绒金矿,8.4,英国,https://movie.douban.com/subject/1294136/,1998-11-06,66976
百鸟朝凤,8.3,中国大陆,https://movie.douban.com/subject/10831445/,2016-05-06,313856
曾经,8.3,爱尔兰,https://movie.douban.com/subject/2053515/,2007-01-20,282612
木偶奇遇记,8.4,美国,https://movie.douban.com/subject/1292757/,1940-02-07,57899
八月迷情,8.3,美国,https://movie.douban.com/subject/1844413/,2009-01-23,158627
如晴天，似雨天,8.3,美国,https://movie.douban.com/subject/25738406/,2014-09-27,155579
她比烟花寂寞,8.3,英国,https://movie.douban.com/subject/1293708/,1998-09-05,122140
8英里,8.3,美国,https://movie.douban.com/subject/1307853/,2002-11-08,105628
摇摆少女,8.4,日本,https://movie.douban.com/subject/1361254/,2004-09-11,43098
黑猫白猫,8.5,南斯拉夫,https://movie.douban.com/subject/1293236/,1998-06-01,26205
初恋这首情歌,8.2,爱尔兰,https://movie.douban.com/subject/25855071/,2020-08-07,126351
修女也疯狂,8.2,美国,https://movie.douban.com/subject/1301509/,1992-05-29,117642
圣诞夜惊魂,8.2,美国,https://movie.douban.com/subject/1297131/,1993-10-29,112121
舞台春秋,8.9,美国,https://movie.douban.com/subject/1296659/,1952-10-16,9337
音乐会,8.5,法国,https://movie.douban.com/subject/3285642/,2009-11-04,18864
和你在一起,7.9,中国大陆,https://movie.douban.com/subject/1307702/,2002-09-20,47874
保镖,7.9,美国,https://movie.douban.com/subject/1299362/,1992-11-25,82031
红色小提琴,8.2,加拿大,https://movie.douban.com/subject/1294595/,1998-11-13,17213
摇滚校园,7.9,美国,https://movie.douban.com/subject/1308620/,2003-09-09,62486
无人引航,8.1,美国,https://movie.douban.com/subject/10754780/,2014-10-17,21009
几近成名,8.0,美国,https://movie.douban.com/subject/1292352/,2000-09-13,30315
情键四分钟,8.5,德国,https://movie.douban.com/subject/1947266/,2006-06-23,9107
弗兰克,7.9,英国,https://movie.douban.com/subject/10763928/,2014-01-17,51688
娜娜,7.8,日本,https://movie.douban.com/subject/1421823/,2005-09-03,130411
平家物语：犬王,7.9,日本,https://movie.douban.com/subject/34430141/,2023-04-07,37575
青木瓜之味,7.8,越南,https://movie.douban.com/subject/1291553/,1993-06-08,80178
蓝调传奇,8.1,美国,https://movie.douban.com/subject/3005365/,2008-12-05,16566
冷战,7.9,波兰,https://movie.douban.com/subject/26894602/,2018-05-10,30489
神秘巨星,7.7,印度,https://movie.douban.com/subject/26942674/,2018-01-19,415455
丝路花雨,9.1,中国大陆,https://movie.douban.com/subject/3804492/,1982,2494
耶稣基督万世巨星,8.9,英国,https://movie.douban.com/subject/1958976/,2000-10-16,5180
我不在那儿,7.9,美国,https://movie.douban.com/subject/1793922/,2007-11-21,23862
