电影名,评分,地区,地址,发布日期,评论人数
美丽人生,9.5,意大利,https://movie.douban.com/subject/1292063/,2020-01-03,1369570
鬼子来了,9.3,中国大陆,https://movie.douban.com/subject/1291858/,2000-05-12,651340
触不可及,9.3,法国,https://movie.douban.com/subject/6786002/,2011-11-02,1166783
摩登时代,9.3,美国,https://movie.douban.com/subject/1294371/,1936-02-25,314532
大话西游之大圣娶亲,9.2,中国香港,https://movie.douban.com/subject/1292213/,2014-10-24,1582982
疯狂动物城,9.2,美国,https://movie.douban.com/subject/25662329/,2016-03-04,2027662
三傻大闹宝莱坞,9.2,印度,https://movie.douban.com/subject/3793023/,2011-12-08,1919569
城市之光,9.3,美国,https://movie.douban.com/subject/1293908/,1931-01-30,154188
怦然心动,9.1,美国,https://movie.douban.com/subject/3319755/,2010-07-26,1894489
寻梦环游记,9.1,美国,https://movie.douban.com/subject/20495023/,2017-11-24,1760118
飞屋环游记,9.1,美国,https://movie.douban.com/subject/2129039/,2009-08-04,1375522
罗马假日,9.1,美国,https://movie.douban.com/subject/1293839/,1953-08-20,978398
两杆大烟枪,9.1,英国,https://movie.douban.com/subject/1293350/,1998-08-28,617022
我不是药神,9.0,中国大陆,https://movie.douban.com/subject/26752088/,2018-07-05,2177618
让子弹飞,9.0,中国大陆,https://movie.douban.com/subject/3742360/,2010-12-16,1762449
大话西游之月光宝盒,9.0,中国香港,https://movie.douban.com/subject/1299398/,2014-10-24,1260894
雨中曲,9.1,美国,https://movie.douban.com/subject/1293460/,1952-04-11,237591
喜宴,9.0,中国台湾,https://movie.douban.com/subject/1303037/,1993-08-04,381753
玛丽和马克思,9.0,澳大利亚,https://movie.douban.com/subject/3072124/,2009-01-15,430799
绿皮书,8.9,美国,https://movie.douban.com/subject/27060077/,2019-03-01,1717584
芝加哥,8.9,美国,https://movie.douban.com/subject/1307697/,2002-12-27,165124
唐伯虎点秋香,8.7,中国香港,https://movie.douban.com/subject/1306249/,1993-07-01,1121814
九品芝麻官,8.7,中国香港,https://movie.douban.com/subject/1297518/,1994-03-31,713861
射雕英雄传之东成西就,8.7,中国香港,https://movie.douban.com/subject/1316510/,1993-02-05,662190
回到未来,8.8,美国,https://movie.douban.com/subject/1300555/,1985-07-03,222339
超能陆战队,8.7,美国,https://movie.douban.com/subject/11026735/,2015-02-28,1054663
神偷奶爸,8.7,美国,https://movie.douban.com/subject/3287562/,2010-06-20,975917
天使爱美丽,8.7,法国,https://movie.douban.com/subject/1292215/,2001-04-25,973451
大佛普拉斯,8.7,中国台湾,https://movie.douban.com/subject/27059130/,2017-06-29,487916
疯狂原始人,8.7,美国,https://movie.douban.com/subject/1907966/,2013-04-20,864057
你逃我也逃,9.2,美国,https://movie.douban.com/subject/1303418/,1942-03-06,51341
无敌破坏王,8.7,美国,https://movie.douban.com/subject/6534248/,2012-11-06,563129
遗愿清单,8.7,美国,https://movie.douban.com/subject/1867345/,2007-12-25,483831
奇爱博士,8.9,美国,https://movie.douban.com/subject/1322848/,1964-01-29,101959
寻子遇仙记,9.2,美国,https://movie.douban.com/subject/1293270/,1921-02-06,46649
坠入,8.8,美国,https://movie.douban.com/subject/1890572/,2006-09-09,132944
疯狂的石头,8.6,中国大陆,https://movie.douban.com/subject/1862151/,2006-06-30,855121
谁先爱上他的,8.6,中国台湾,https://movie.douban.com/subject/27119586/,2018-04-22,406487
福尔摩斯二世,9.5,美国,https://movie.douban.com/subject/1303408/,1924-04-21,28799
冰川时代,8.6,美国,https://movie.douban.com/subject/1291578/,2002-03-15,637912
家有喜事,8.5,中国香港,https://movie.douban.com/subject/1300064/,1992-01-25,293771
完美陌生人,8.5,意大利,https://movie.douban.com/subject/26614893/,2018-05-25,524427
赌神,8.5,中国香港,https://movie.douban.com/subject/1300883/,1989-12-14,272947
三毛从军记,8.6,中国大陆,https://movie.douban.com/subject/2132220/,1992,95151
哪啊哪啊神去村,8.6,日本,https://movie.douban.com/subject/24741412/,2014-05-10,168736
热天午后,8.7,美国,https://movie.douban.com/subject/1293374/,1975-09-21,102698
有话好好说,8.5,中国大陆,https://movie.douban.com/subject/1296436/,1997-05-16,244888
亚当斯一家的价值观,8.8,美国,https://movie.douban.com/subject/1299900/,1993-11-19,72572
海底总动员,8.5,美国,https://movie.douban.com/subject/1291586/,2003-07-30,401364
落叶归根,8.5,中国大陆,https://movie.douban.com/subject/1853621/,2007-01-19,213015
玩具总动员4,8.5,美国,https://movie.douban.com/subject/6850547/,2019-06-21,345748
麦兜·我和我妈妈,8.6,中国香港,https://movie.douban.com/subject/25884416/,2014-10-01,79589
麻将,8.7,中国台湾,https://movie.douban.com/subject/1297418/,1996-12-07,51291
疯狂约会美丽都,8.7,法国,https://movie.douban.com/subject/1291565/,2003-06-11,89332
巴黎淘气帮,8.6,法国,https://movie.douban.com/subject/3157605/,2013-02-10,133467
玩具总动员2,8.5,美国,https://movie.douban.com/subject/1291574/,1999-11-24,258558
哪吒之魔童降世,8.4,中国大陆,https://movie.douban.com/subject/26794435/,2019-07-26,1855297
黑炮事件,8.7,中国大陆,https://movie.douban.com/subject/1434269/,1986,46567
蝴蝶,8.6,法国,https://movie.douban.com/subject/1292056/,2002-12-18,120209
安妮·霍尔,8.6,美国,https://movie.douban.com/subject/1296987/,1977-04-20,118515
星际宝贝,8.6,美国,https://movie.douban.com/subject/1307547/,2002-06-16,73303
查理和巧克力工厂,8.3,美国,https://movie.douban.com/subject/1309101/,2005-07-15,532465
银河护卫队3,8.3,美国,https://movie.douban.com/subject/26258779/,2023-05-05,511967
亚当斯一家,8.5,美国,https://movie.douban.com/subject/1293718/,1991-11-22,100002
我的野蛮女友,8.3,韩国,https://movie.douban.com/subject/1292286/,2001-07-27,459921
怪兽大学,8.3,美国,https://movie.douban.com/subject/3789848/,2013-08-23,381396
乔乔的异想世界,8.3,美国,https://movie.douban.com/subject/30170546/,2020-07-31,346105
黑衣人,8.3,美国,https://movie.douban.com/subject/1301445/,1997-07-02,345244
里约大冒险,8.3,美国,https://movie.douban.com/subject/3731581/,2011-04-08,319040
西力传,9.0,美国,https://movie.douban.com/subject/1293846/,1983-07-15,32020
魔发奇缘,8.3,美国,https://movie.douban.com/subject/1863766/,2010-11-24,277898
马戏团,9.2,美国,https://movie.douban.com/subject/1299628/,1928-01-06,25146
阳光小美女,8.3,美国,https://movie.douban.com/subject/1777612/,2006-01-20,269356
普罗旺斯的夏天,8.4,法国,https://movie.douban.com/subject/25858604/,2014-04-02,127271
洗澡,8.4,中国大陆,https://movie.douban.com/subject/1303485/,1999-09-14,69765
冰川时代3,8.3,美国,https://movie.douban.com/subject/2357162/,2009-07-08,243531
心房客,8.5,法国,https://movie.douban.com/subject/26356789/,2015-10-07,81858
绅士们,8.3,英国,https://movie.douban.com/subject/30211998/,2019-12-03,231970
爱你，西蒙,8.3,美国,https://movie.douban.com/subject/26654498/,2018-03-16,229424
小情人,8.6,泰国,https://movie.douban.com/subject/1394488/,2003-08-01,60008
小羊肖恩,8.4,英国,https://movie.douban.com/subject/24397586/,2015-07-17,110830
蓝白红三部曲之白,8.4,法国,https://movie.douban.com/subject/1292049/,1994-01-26,110523
调音师,8.2,印度,https://movie.douban.com/subject/30334073/,2019-04-03,953988
食神,8.2,中国香港,https://movie.douban.com/subject/1293351/,1996-12-21,428934
奇怪的她,8.3,韩国,https://movie.douban.com/subject/24879820/,2014-01-22,186518
穿普拉达的女王,8.2,美国,https://movie.douban.com/subject/1482072/,2007-02-27,750066
武状元苏乞儿,8.2,中国香港,https://movie.douban.com/subject/1297863/,1992-12-17,403227
功夫熊猫,8.2,美国,https://movie.douban.com/subject/1783457/,2008-06-20,591272
杰出公民,8.4,阿根廷,https://movie.douban.com/subject/26844922/,2016-09-04,101216
马路天使,8.6,中国大陆,https://movie.douban.com/subject/1307708/,1937,30603
真实的谎言,8.3,美国,https://movie.douban.com/subject/1292553/,1995-04-20,161222
艺术家,8.4,法国,https://movie.douban.com/subject/6097775/,2012-12-28,95696
孝子贤孙伺候着,8.7,中国大陆,https://movie.douban.com/subject/1462243/,1993,24241
斗牛,8.2,中国大陆,https://movie.douban.com/subject/4009651/,2009-09-11,218741
弗兰西丝·哈,8.5,美国,https://movie.douban.com/subject/11527487/,2012-09-01,67519
当哈利遇到莎莉,8.3,美国,https://movie.douban.com/subject/1291842/,1989-07-21,149819
独自等待,8.2,中国大陆,https://movie.douban.com/subject/1308741/,2005-09-08,209442
巴黎，我爱你,8.3,法国,https://movie.douban.com/subject/1783772/,2006-05-18,146381
101忠狗,8.5,美国,https://movie.douban.com/subject/1298204/,1961-01-25,66274
超人总动员,8.2,美国,https://movie.douban.com/subject/1291577/,2005-01-28,311989
